Price $,Card Name,Rarity,Set
0.26,"Charix, the Raging Isle",R,zendikar-rising
0.52,"Charix, the Raging Isle (Extended Art)",R,zendikar-rising
0.03,Chilling Trap,C,zendikar-rising
0.07,Cinderclasm,U,zendikar-rising
0.27,Cleansing Wildfire,C,zendikar-rising
3.86,Clearwater Pathway // Murkwater Pathway,R,zendikar-rising
4.09,Clearwater Pathway // Murkwater Pathway (Borderless),R,zendikar-rising
0.01,Cleric of Chill Depths,C,zendikar-rising
0.19,Cleric of Life's Bond,U,zendikar-rising
0.03,Cliffhaven Kitesail,C,zendikar-rising
0.01,Cliffhaven Sell-Sword,C,zendikar-rising
0.04,Concerted Defense,U,zendikar-rising
0.31,Confounding Conundrum,R,zendikar-rising
0.94,Confounding Conundrum (Extended Art),R,zendikar-rising
0.11,Construct // Drake Double-sided Token,T,zendikar-rising
0.25,Construct // Illusion Double-sided Token,T,zendikar-rising
0.35,Construct // Kor Warrior Double-sided Token,T,zendikar-rising
0.09,Construct Token,T,zendikar-rising
0.22,Copy // Drake Double-sided Token,T,zendikar-rising
0.16,Copy // Illusion Double-sided Token,T,zendikar-rising
0.28,Copy // Kor Warrior Double-sided Token,T,zendikar-rising
0.13,Copy Token,T,zendikar-rising
0.14,Coralhelm Chronicler,R,zendikar-rising
0.2,Coralhelm Chronicler (Extended Art),R,zendikar-rising
0.19,Coveted Prize,R,zendikar-rising
0.29,Coveted Prize (Extended Art),R,zendikar-rising
2.45,Cragcrown Pathway // Timbercrown Pathway,R,zendikar-rising
2.91,Cragcrown Pathway // Timbercrown Pathway (Borderless),R,zendikar-rising
0.17,Cragplate Baloth,R,zendikar-rising
0.28,Cragplate Baloth (Extended Art),R,zendikar-rising
0.29,Crawling Barrens,R,zendikar-rising
0.94,Crawling Barrens (Extended Art),R,zendikar-rising
0.02,Cunning Geysermage,C,zendikar-rising
0.02,Dauntless Survivor,C,zendikar-rising
0.01,Dauntless Unity,C,zendikar-rising
0.02,Deadly Alliance,C,zendikar-rising
0.08,Deliberate,C,zendikar-rising
0.25,Demon's Disciple,U,zendikar-rising
0.02,Disenchant,C,zendikar-rising
0.39,Drake // Goblin Construct Double-sided Token,T,zendikar-rising
0.71,Drake // Hydra Double-sided Token,T,zendikar-rising
0.08,Drake // Insect Double-sided Token,T,zendikar-rising
0.08,Drake // Plant Double-sided Token,T,zendikar-rising
0.11,Drake Token,T,zendikar-rising
1.58,"Drana, the Last Bloodchief",M,zendikar-rising
2.78,"Drana, the Last Bloodchief (Extended Art)",M,zendikar-rising
0.01,Drana's Silencer,C,zendikar-rising
0.04,Dreadwurm,C,zendikar-rising
0.02,Dreadwurm (Showcase),C,zendikar-rising
0.02,Emeria Captain,U,zendikar-rising
3.52,"Emeria's Call // Emeria, Shattered Skyclave",M,zendikar-rising
5.04,"Emeria's Call // Emeria, Shattered Skyclave (Extended Art)",M,zendikar-rising
0.01,Expedition Champion,C,zendikar-rising
0.01,Expedition Diviner,C,zendikar-rising
0.02,Expedition Healer,C,zendikar-rising
0.03,Expedition Skulker,C,zendikar-rising
0.01,Farsight Adept,C,zendikar-rising
0.04,Fearless Fledgling,U,zendikar-rising
0.06,Fearless Fledgling (Showcase),U,zendikar-rising
1.1,Feed the Swarm,C,zendikar-rising
1.63,Felidar Retreat,R,zendikar-rising
0.91,Felidar Retreat (Showcase),R,zendikar-rising
0.02,Field Research,C,zendikar-rising
0.15,Fireblade Charger,U,zendikar-rising
0.02,Fissure Wizard,C,zendikar-rising
0.2,Forest,L,zendikar-rising
0.2,Forest (278) - Full Art,L,zendikar-rising
0.2,Forest (279) - Full Art,L,zendikar-rising
0.24,Forest (280) - Full Art,L,zendikar-rising
4.68,Forsaken Monument,M,zendikar-rising
6.64,Forsaken Monument (Extended Art),M,zendikar-rising
0.03,Ghastly Gloomhunter,C,zendikar-rising
0.02,Glacial Grasp,C,zendikar-rising
2.13,Glasspool Mimic // Glasspool Shore,R,zendikar-rising
3.71,Glasspool Mimic // Glasspool Shore (Extended Art),R,zendikar-rising
0.06,Gnarlid Colony,C,zendikar-rising
0.22,Goblin Construct // Illusion Double-sided Token,T,zendikar-rising
0.13,Goblin Construct // Kor Warrior Double-sided Token,T,zendikar-rising
0.09,Goblin Construct Token,T,zendikar-rising
0.03,Goma Fada Vanguard,U,zendikar-rising
0.27,"Grakmaw, Skyclave Ravager",R,zendikar-rising
0.43,"Grakmaw, Skyclave Ravager (Extended Art)",R,zendikar-rising
0.01,Grotag Bug-Catcher,C,zendikar-rising
0.03,Grotag Night-Runner,U,zendikar-rising
0.03,Guul Draz Mucklord,C,zendikar-rising
0.03,Hagra Constrictor,C,zendikar-rising
0.58,Hagra Mauling // Hagra Broodpit,R,zendikar-rising
1.32,Hagra Mauling // Hagra Broodpit (Extended Art),R,zendikar-rising
0.23,Helper Card - 1/9,S,zendikar-rising
0.22,Helper Card - 2/9,S,zendikar-rising
0.2,Helper Card - 3/9,S,zendikar-rising
0.22,Helper Card - 4/9,S,zendikar-rising
0.22,Helper Card - 5/9,S,zendikar-rising
0.22,Helper Card - 6/9,S,zendikar-rising
0.2,Helper Card - 7/9,S,zendikar-rising
0.21,Helper Card - 8/9,S,zendikar-rising
0.2,Helper Card - 9/9,S,zendikar-rising
0.01,Highborn Vampire,C,zendikar-rising
0.25,Hydra // Illusion Double-sided Token,T,zendikar-rising
0.2,Hydra // Kor Warrior Double-sided Token,T,zendikar-rising
0.43,Hydra Token,T,zendikar-rising
0.12,Illusion // Insect Double-sided Token,T,zendikar-rising
0.12,Illusion // Plant Double-sided Token,T,zendikar-rising
0.18,Illusion Token,T,zendikar-rising
0.01,Inordinate Rage,C,zendikar-rising
0.26,Inscription of Abundance,R,zendikar-rising
0.67,Inscription of Abundance (Extended Art),R,zendikar-rising
0.16,Inscription of Insight,R,zendikar-rising
0.26,Inscription of Insight (Extended Art),R,zendikar-rising
0.13,Inscription of Ruin,R,zendikar-rising
0.23,Inscription of Ruin (Extended Art),R,zendikar-rising
0.13,Insect // Kor Warrior Double-sided Token,T,zendikar-rising
0.2,Insect Token,T,zendikar-rising
0.05,Into the Roil,C,zendikar-rising
0.1,Iridescent Hornbeetle,U,zendikar-rising
0.25,Island,L,zendikar-rising
0.18,Island (269) - Full Art,L,zendikar-rising
0.19,Island (270) - Full Art,L,zendikar-rising
0.34,Island (271) - Full Art,L,zendikar-rising
1.03,"Jace, Mirror Mage",M,zendikar-rising
1.39,"Jace, Mirror Mage (Borderless)",M,zendikar-rising
0.01,Joraga Visionary,C,zendikar-rising
0.01,Journey to Oblivion,U,zendikar-rising
0.29,Jwari Disruption // Jwari Ruins,U,zendikar-rising
0.01,Kabira Outrider,C,zendikar-rising
0.2,Kabira Takedown // Kabira Plateau,U,zendikar-rising
0.18,Kargan Intimidator,R,zendikar-rising
0.36,Kargan Intimidator (Extended Art),R,zendikar-rising
0.09,Kargan Warleader,U,zendikar-rising
0.19,"Kaza, Roil Chaser",R,zendikar-rising
0.37,"Kaza, Roil Chaser (Extended Art)",R,zendikar-rising
0.44,Kazandu Mammoth // Kazandu Valley,R,zendikar-rising
0.43,Kazandu Mammoth // Kazandu Valley (Showcase),R,zendikar-rising
0.01,Kazandu Nectarpot,C,zendikar-rising
0.06,Kazandu Nectarpot (Showcase),C,zendikar-rising
0.01,Kazandu Stomper,C,zendikar-rising
0.25,Kazuul's Fury // Kazuul's Cliffs,U,zendikar-rising
0.26,Khalni Ambush // Khalni Territory,U,zendikar-rising
0.03,Kitesail Cleric,U,zendikar-rising
0.11,Kor Blademaster,U,zendikar-rising
0.02,Kor Celebrant,C,zendikar-rising
0.1,Kor Warrior // Plant Double-sided Token,T,zendikar-rising
0.05,Kor Warrior Token,T,zendikar-rising
0.37,Legion Angel,R,zendikar-rising
0.6,Legion Angel (Extended Art),R,zendikar-rising
3.36,Leyline Tyrant,M,zendikar-rising
4.8,Leyline Tyrant (Extended Art),M,zendikar-rising
0.23,"Linvala, Shield of Sea Gate",R,zendikar-rising
0.55,"Linvala, Shield of Sea Gate (Extended Art)",R,zendikar-rising
0.07,Lithoform Blight,U,zendikar-rising
9.39,Lithoform Engine,M,zendikar-rising
12.96,Lithoform Engine (Extended Art),M,zendikar-rising
0.02,Living Tempest,C,zendikar-rising
2.21,Lotus Cobra,R,zendikar-rising
2.2,Lotus Cobra (Showcase),R,zendikar-rising
0.11,Lullmage's Domination,U,zendikar-rising
0.03,Lullmage's Familiar,U,zendikar-rising
0.65,Luminarch Aspirant,R,zendikar-rising
1.31,Luminarch Aspirant (Extended Art),R,zendikar-rising
1.16,Maddening Cacophony,R,zendikar-rising
2.35,Maddening Cacophony (Extended Art),R,zendikar-rising
0.45,Magic Minigame: Base Race,S,zendikar-rising
0.73,Magic Minigame: Booster Blitz,S,zendikar-rising
0.46,Magic Minigame: Booster Sleuth,S,zendikar-rising
0.52,Magic Minigame: Roil Royale,S,zendikar-rising
0.71,Magic Minigame: Strictly Better,S,zendikar-rising
0.49,Magmatic Channeler,R,zendikar-rising
1.89,Magmatic Channeler (Extended Art),R,zendikar-rising
0.03,Makindi Ox,C,zendikar-rising
0.03,Makindi Ox (Showcase),C,zendikar-rising
0.08,Makindi Stampede // Makindi Mesas,U,zendikar-rising
0.03,Malakir Blood-Priest,C,zendikar-rising
0.48,Malakir Rebirth // Malakir Mire,U,zendikar-rising
0.14,Marauding Blight-Priest,C,zendikar-rising
0.12,Master of Winds,R,zendikar-rising
0.14,Master of Winds (Extended Art),R,zendikar-rising
0.59,Maul of the Skyclaves,R,zendikar-rising
1.16,Maul of the Skyclaves (Extended Art),R,zendikar-rising
0.02,Merfolk Falconer,U,zendikar-rising
0.2,Merfolk Windrobber,U,zendikar-rising
0.02,Mesa Lynx,C,zendikar-rising
0.02,Might of Murasa,C,zendikar-rising
0.04,Mind Carver,U,zendikar-rising
0.04,Mind Drain,C,zendikar-rising
0.02,Molten Blast,C,zendikar-rising
5.01,"Moraug, Fury of Akoum",M,zendikar-rising
4.82,"Moraug, Fury of Akoum (Showcase)",M,zendikar-rising
0.04,Moss-Pit Skeleton,U,zendikar-rising
0.24,Mountain,L,zendikar-rising
0.22,Mountain (275) - Full Art,L,zendikar-rising
0.21,Mountain (276) - Full Art,L,zendikar-rising
0.18,Mountain (277) - Full Art,L,zendikar-rising
0.01,Murasa Brute,C,zendikar-rising
0.13,Murasa Rootgrazer,U,zendikar-rising
0.08,Murasa Sproutling,U,zendikar-rising
0.15,Myriad Construct,R,zendikar-rising
0.23,Myriad Construct (Extended Art),R,zendikar-rising
1.4,"Nahiri, Heir of the Ancients",M,zendikar-rising
1.27,"Nahiri, Heir of the Ancients (Borderless)",M,zendikar-rising
0.03,Nahiri's Binding,C,zendikar-rising
0.24,Nahiri's Lithoforming,R,zendikar-rising
0.35,Nahiri's Lithoforming (Extended Art),R,zendikar-rising
2.07,Needleverge Pathway // Pillarverge Pathway,R,zendikar-rising
2.84,Needleverge Pathway // Pillarverge Pathway (Borderless),R,zendikar-rising
0.09,Negate,C,zendikar-rising
2.03,Nighthawk Scavenger,R,zendikar-rising
3.04,Nighthawk Scavenger (Extended Art),R,zendikar-rising
0.01,Nimana Skitter-Sneak,C,zendikar-rising
0.02,Nimana Skydancer,C,zendikar-rising
0.11,Nimble Trapfinder,R,zendikar-rising
0.17,Nimble Trapfinder (Extended Art),R,zendikar-rising
2.19,Nissa of Shadowed Boughs,M,zendikar-rising
2.61,Nissa of Shadowed Boughs (Borderless),M,zendikar-rising
0.02,Nissa's Zendikon,C,zendikar-rising
0.33,Nullpriest of Oblivion,R,zendikar-rising
0.53,Nullpriest of Oblivion (Extended Art),R,zendikar-rising
0.01,Oblivion's Hunger,C,zendikar-rising
6.17,"Omnath, Locus of Creation",M,zendikar-rising
5.8,"Omnath, Locus of Creation (Showcase)",M,zendikar-rising
0.3,Ondu Inversion // Ondu Skyruins,R,zendikar-rising
0.74,Ondu Inversion // Ondu Skyruins (Extended Art),R,zendikar-rising
0.19,"Orah, Skyclave Hierophant",R,zendikar-rising
0.29,"Orah, Skyclave Hierophant (Extended Art)",R,zendikar-rising
0.23,Oran-Rief Ooze,R,zendikar-rising
0.37,Oran-Rief Ooze (Extended Art),R,zendikar-rising
0.02,Paired Tactician,U,zendikar-rising
0.13,Pelakka Predation // Pelakka Caverns,U,zendikar-rising
0.32,"Phylath, World Sculptor",R,zendikar-rising
0.3,"Phylath, World Sculptor (Showcase)",R,zendikar-rising
0.17,Plains,L,zendikar-rising
0.17,Plains (266) - Full Art,L,zendikar-rising
0.19,Plains (267) - Full Art,L,zendikar-rising
0.17,Plains (268) - Full Art,L,zendikar-rising
0.25,Plant Token,T,zendikar-rising
0.02,Practiced Tactics,C,zendikar-rising
0.01,Pressure Point,C,zendikar-rising
0.02,Prowling Felidar,C,zendikar-rising
0.02,Prowling Felidar (Showcase),C,zendikar-rising
0.02,Pyroclastic Hellion,C,zendikar-rising
0.02,Rabid Bite,C,zendikar-rising
0.03,Ravager's Mace,U,zendikar-rising
0.07,Reclaim the Wastes,C,zendikar-rising
0.03,Relic Amulet,U,zendikar-rising
0.06,Relic Axe,U,zendikar-rising
0.09,Relic Golem,U,zendikar-rising
0.12,Relic Robber,R,zendikar-rising
0.34,Relic Robber (Extended Art),R,zendikar-rising
0.1,Relic Vial,U,zendikar-rising
0.05,Resolute Strike,C,zendikar-rising
0.02,Risen Riptide,C,zendikar-rising
3.34,Riverglide Pathway // Lavaglide Pathway,R,zendikar-rising
3.92,Riverglide Pathway // Lavaglide Pathway (Borderless),R,zendikar-rising
0.02,Rockslide Sorcerer,U,zendikar-rising
0.02,Roil Eruption,C,zendikar-rising
0.27,Roiling Regrowth,U,zendikar-rising
0.31,Roiling Vortex,R,zendikar-rising
0.65,Roiling Vortex (Extended Art),R,zendikar-rising
0.09,Roost of Drakes,U,zendikar-rising
0.76,Ruin Crab,U,zendikar-rising
0.48,Ruin Crab (Showcase),U,zendikar-rising
0.06,Scale the Heights,C,zendikar-rising
0.02,Scavenged Blade,C,zendikar-rising
0.04,Scion of the Swarm,U,zendikar-rising
0.02,Scorch Rider,C,zendikar-rising
7.86,Scourge of the Skyclaves,M,zendikar-rising
11.28,Scourge of the Skyclaves (Extended Art),M,zendikar-rising
2.33,Scute Swarm,R,zendikar-rising
1.98,Scute Swarm (Showcase),R,zendikar-rising
0.02,Sea Gate Banneret,C,zendikar-rising
0.01,Sea Gate Colossus,C,zendikar-rising
7.45,"Sea Gate Restoration // Sea Gate, Reborn",M,zendikar-rising
10.1,"Sea Gate Restoration // Sea Gate, Reborn (Extended Art)",M,zendikar-rising
1.37,Sea Gate Stormcaller,M,zendikar-rising
3.1,Sea Gate Stormcaller (Extended Art),M,zendikar-rising
0.03,Seafloor Stalker,C,zendikar-rising
0.26,Sejiri Shelter // Sejiri Glacier,U,zendikar-rising
0.05,Shadow Stinger,U,zendikar-rising
0.16,Shadows' Verdict,R,zendikar-rising
0.24,Shadows' Verdict (Extended Art),R,zendikar-rising
0.16,Shatterskull Charger,R,zendikar-rising
0.2,Shatterskull Charger (Extended Art),R,zendikar-rising
0.02,Shatterskull Minotaur,U,zendikar-rising
6.27,"Shatterskull Smashing // Shatterskull, the Hammer Pass",M,zendikar-rising
9.25,"Shatterskull Smashing // Shatterskull, the Hammer Pass (Extended Art)",M,zendikar-rising
0.02,Shell Shield,C,zendikar-rising
0.03,Shepherd of Heroes,C,zendikar-rising
0.3,Silundi Vision // Silundi Isle,U,zendikar-rising
0.02,Sizzling Barrage,C,zendikar-rising
6.82,Skyclave Apparition,R,zendikar-rising
8.33,Skyclave Apparition (Extended Art),R,zendikar-rising
0.12,Skyclave Cleric // Skyclave Basilica,U,zendikar-rising
0.03,Skyclave Geopede,U,zendikar-rising
0.05,Skyclave Geopede (Showcase),U,zendikar-rising
0.04,Skyclave Pick-Axe,U,zendikar-rising
0.05,Skyclave Pick-Axe (Showcase),U,zendikar-rising
0.01,Skyclave Plunder,U,zendikar-rising
1.26,Skyclave Relic,R,zendikar-rising
2.56,Skyclave Relic (Extended Art),R,zendikar-rising
0.01,Skyclave Sentinel,C,zendikar-rising
0.21,Skyclave Shade,R,zendikar-rising
0.24,Skyclave Shade (Showcase),R,zendikar-rising
0.04,Skyclave Shadowcat,U,zendikar-rising
0.02,Skyclave Squid,C,zendikar-rising
0.03,Skyclave Squid (Showcase),C,zendikar-rising
0.02,Smite the Monstrous,C,zendikar-rising
0.02,Sneaking Guide,C,zendikar-rising
0.25,Soaring Thought-Thief,U,zendikar-rising
0.14,Song-Mad Treachery // Song-Mad Ruins,U,zendikar-rising
0.34,Soul Shatter,R,zendikar-rising
0.92,Soul Shatter (Extended Art),R,zendikar-rising
0.08,Spare Supplies,C,zendikar-rising
0.29,Spikefield Hazard // Spikefield Cave,U,zendikar-rising
0.04,Spitfire Lagac,C,zendikar-rising
0.04,Spitfire Lagac (Showcase),C,zendikar-rising
0.07,Spoils of Adventure,U,zendikar-rising
0.02,Springmantle Cleric,U,zendikar-rising
0.16,Squad Commander,R,zendikar-rising
0.2,Squad Commander (Extended Art),R,zendikar-rising
0.02,Stonework Packbeast,C,zendikar-rising
0.01,Strength of Solidarity,C,zendikar-rising
0.01,Subtle Strike,C,zendikar-rising
0.03,Sure-Footed Infiltrator,U,zendikar-rising
0.24,Swamp,L,zendikar-rising
0.23,Swamp (272) - Full Art,L,zendikar-rising
0.2,Swamp (273) - Full Art,L,zendikar-rising
0.19,Swamp (274) - Full Art,L,zendikar-rising
0.18,Swarm Shambler,R,zendikar-rising
0.26,Swarm Shambler (Extended Art),R,zendikar-rising
0.01,Synchronized Spellcraft,C,zendikar-rising
0.21,"Taborax, Hope's Demise",R,zendikar-rising
0.36,"Taborax, Hope's Demise (Extended Art)",R,zendikar-rising
0.03,Tajuru Blightblade,C,zendikar-rising
0.18,Tajuru Paragon,R,zendikar-rising
0.31,Tajuru Paragon (Extended Art),R,zendikar-rising
0.01,Tajuru Snarecaster,C,zendikar-rising
0.28,Tangled Florahedron // Tangled Vale,U,zendikar-rising
0.02,Taunting Arbormage,U,zendikar-rising
0.02,Tazeem Raptor,C,zendikar-rising
0.04,Tazeem Roilmage,C,zendikar-rising
0.48,"Tazri, Beacon of Unity",M,zendikar-rising
1.2,"Tazri, Beacon of Unity (Extended Art)",M,zendikar-rising
0.01,Teeterpeak Ambusher,C,zendikar-rising
0.05,Territorial Scythecat,C,zendikar-rising
0.05,Territorial Scythecat (Showcase),C,zendikar-rising
1.36,Thieving Skydiver,R,zendikar-rising
3.23,Thieving Skydiver (Extended Art),R,zendikar-rising
0.13,Throne of Makindi,R,zendikar-rising
0.22,Throne of Makindi (Extended Art),R,zendikar-rising
0.07,Thundering Rebuke,U,zendikar-rising
0.01,Thundering Sparkmage,U,zendikar-rising
0.04,Thwart the Grave,U,zendikar-rising
0.05,Tormenting Voice,C,zendikar-rising
0.03,Tuktuk Rubblefort,C,zendikar-rising
0.02,Turntimber Ascetic,C,zendikar-rising
7.16,"Turntimber Symbiosis // Turntimber, Serpentine Wood",M,zendikar-rising
9.86,"Turntimber Symbiosis // Turntimber, Serpentine Wood (Extended Art)",M,zendikar-rising
0.05,Umara Mystic,U,zendikar-rising
0.06,Umara Wizard // Umara Skyfalls,U,zendikar-rising
0.03,Utility Knife,C,zendikar-rising
2.85,Valakut Awakening // Valakut Stoneforge,R,zendikar-rising
5.16,Valakut Awakening // Valakut Stoneforge (Extended Art),R,zendikar-rising
0.69,Valakut Exploration,R,zendikar-rising
0.61,Valakut Exploration (Showcase),R,zendikar-rising
0.01,Vanquish the Weak,C,zendikar-rising
0.11,Vastwood Fortification // Vastwood Thicket,U,zendikar-rising
0.25,Vastwood Surge,U,zendikar-rising
0.57,"Verazol, the Split Current",R,zendikar-rising
0.3,"Verazol, the Split Current (Extended Art)",R,zendikar-rising
0.02,Veteran Adventurer,U,zendikar-rising
0.1,Vine Gecko,U,zendikar-rising
0.13,Wayward Guide-Beast,R,zendikar-rising
0.22,Wayward Guide-Beast (Extended Art),R,zendikar-rising
0.02,Windrider Wizard,U,zendikar-rising
0.32,"Yasharn, Implacable Earth",R,zendikar-rising
0.92,"Yasharn, Implacable Earth (Extended Art)",R,zendikar-rising
0.21,"Zagras, Thief of Heartbeats",R,zendikar-rising
0.42,"Zagras, Thief of Heartbeats (Extended Art)",R,zendikar-rising
0.4,"Zareth San, the Trickster",R,zendikar-rising
0.87,"Zareth San, the Trickster (Extended Art)",R,zendikar-rising
0.1,Zof Consumption // Zof Bloodbog,U,zendikar-rising
0.03,Zulaport Duelist,C,zendikar-rising
0.24,Adherent of Hope,C,core-set-2021
0.02,Alchemist's Gift,C,core-set-2021
0.12,Alpine Houndmaster,U,core-set-2021
0.06,Alpine Watchdog,C,core-set-2021
0.42,Angel // Cat (011) Double-sided Token,T,core-set-2021
0.34,Angel // Demon Double-sided Token,T,core-set-2021
0.45,Angel // Griffin Double-sided Token,T,core-set-2021
0.38,Angel // Knight Double-sided Token,T,core-set-2021
0.39,Angel // Saproling Double-sided Token,T,core-set-2021
1.26,Angel // Treasure Double-sided Token,T,core-set-2021
0.54,Angel // Weird Double-sided Token,T,core-set-2021
0.17,Angel Token,T,core-set-2021
0.16,Angelic Ascension,U,core-set-2021
0.43,Animal Sanctuary,R,core-set-2021
1.19,Animal Sanctuary (Extended Art),R,core-set-2021
0.02,Anointed Chorister,C,core-set-2021
0.55,Archfiend's Vessel,U,core-set-2021
0.05,Aven Gagglemaster,U,core-set-2021
6.72,"Azusa, Lost but Seeking",R,core-set-2021
12.35,"Azusa, Lost but Seeking (Extended Art)",R,core-set-2021
0.05,Bad Deal,U,core-set-2021
1.99,Baneslayer Angel,M,core-set-2021
6.66,Baneslayer Angel (Extended Art),M,core-set-2021
0.35,"Barrin, Tolarian Archmage",R,core-set-2021
1.19,"Barrin, Tolarian Archmage (Extended Art)",R,core-set-2021
1.66,Basri Ket,M,core-set-2021
2.77,Basri Ket (Borderless),M,core-set-2021
1.58,Basri Ket (Showcase),M,core-set-2021
3.64,"Basri, Devoted Paladin",M,core-set-2021
0.06,Basri's Acolyte,C,core-set-2021
0.04,Basri's Acolyte (Showcase),C,core-set-2021
0.57,Basri's Aegis,R,core-set-2021
0.45,Basri's Lieutenant,R,core-set-2021
0.29,Basri's Lieutenant (Showcase),R,core-set-2021
0.22,Basri's Solidarity,U,core-set-2021
0.15,Basri's Solidarity (Showcase),U,core-set-2021
0.04,Battle-Rattle Shaman,U,core-set-2021
0.3,Beast // Cat (011) Double-sided Token,T,core-set-2021
0.33,Beast // Cat (020) Double-sided Token,T,core-set-2021
0.64,Beast // Construct Double-sided Token,T,core-set-2021
0.76,Beast // Griffin Double-sided Token,T,core-set-2021
0.34,Beast // Knight Double-sided Token,T,core-set-2021
0.27,Beast // Saproling Double-sided Token,T,core-set-2021
0.81,Beast // Treasure Double-sided Token,T,core-set-2021
0.1,Beast Token,T,core-set-2021
0.34,Bird // Cat (011) Double-sided Token,T,core-set-2021
0.53,Bird // Cat (020) Double-sided Token,T,core-set-2021
0.32,Bird // Demon Double-sided Token,T,core-set-2021
0.29,Bird // Griffin Double-sided Token,T,core-set-2021
0.38,Bird // Saproling Double-sided Token,T,core-set-2021
0.33,Bird // Treasure Double-sided Token,T,core-set-2021
0.08,Bird Token,T,core-set-2021
0.02,Blood Glutton,C,core-set-2021
0.11,Bloodfell Caves,L,core-set-2021
0.12,Blossoming Sands,L,core-set-2021
0.24,Bolt Hound,U,core-set-2021
0.02,Bone Pit Brute,C,core-set-2021
1.57,Brash Taunter,R,core-set-2021
2.96,Brash Taunter (Extended Art),R,core-set-2021
0.02,Burlfist Oak,U,core-set-2021
0.02,Burn Bright,C,core-set-2021
0.03,Caged Zombie,C,core-set-2021
0.05,Cancel,C,core-set-2021
0.03,Canopy Stalker,U,core-set-2021
0.01,Capture Sphere,C,core-set-2021
0.04,Carrion Grub,U,core-set-2021
2.57,Cat (011) // Dog Double-sided Token,T,core-set-2021
